Uniprot,Gene,WD score,Root WD score,minus_log10_pvalue,log2_FoldChange
,,,,,
PCBP2_HUMAN,PCBP2,2.47,1.57,0.06734492,-0.1480267
HNRPK_HUMAN,HNRNPK,0.59,0.77,0.067150889,0.226137437
TOM20_HUMAN,TOMM20,0,0,0.066321469,-0.25748494
ACBD5_HUMAN,ACBD5,0.69,0.83,0.066266435,-0.244881048
AP2B1_HUMAN,AP2B1,0,0,0.06604734,-0.145317665
GNL3L_HUMAN,GNL3L,4.96,2.23,0.06585685,0.239487786
ECD_HUMAN,ECD,1.7,1.3,0.06567742,0.188404959
SYNE2_HUMAN,SYNE2,6.11,2.47,0.065506249,0.398494481
MA7D3_HUMAN,MAP7D3,3.38,1.84,0.065410373,0.241196854
AT2A2_HUMAN,ATP2A2,5.05,2.25,0.064288237,0.282137337
,,,,,
RS10_HUMAN,RPS10,4.62,2.15,0.063395548,0.077353208
PX11B_HUMAN,PEX11B,2.85,1.69,0.0631499,0.20470564
AVL9_HUMAN,AVL9,0,0,0.062631801,0.109977614
CNDD3_HUMAN,NCAPD3,1.14,1.07,0.061579261,0.150028949
PARP1_HUMAN,PARP1,4.69,2.16,0.061526951,-0.133494467
MTX3_HUMAN,MTX3,3.15,1.77,0.061291842,0.220245685
LETM1_HUMAN,LETM1,4.51,2.12,0.061260307,0.278309228
PTN1_HUMAN,PTPN1,3.56,1.89,0.060901341,0.096960008
EFTU_HUMAN,TUFM,4.02,2,0.060498996,-0.15112631
LYRIC_HUMAN,MTDH,2.96,1.72,0.058887974,0.209475595
TANC2_HUMAN,TANC2,1.63,1.28,0.058773281,0.161686399
ABCF1_HUMAN,ABCF1,4.31,2.08,0.058679508,0.156761289
EXOC1_HUMAN,EXOC1,0,0,0.0584616,0.169156608
ELOA1_HUMAN,ELOA,1.43,1.2,0.058352144,-0.245131679
K0355_HUMAN,KIAA0355,45.01,6.71,0.058160997,-0.400588857
RS20_HUMAN,RPS20,2.27,1.51,0.057644516,0.219403189
RS3A_HUMAN,RPS3A,3.96,1.99,0.057593697,-0.252264335
AHNK2_HUMAN,AHNAK2,3.71,1.93,0.057390723,0.298297054
HXK1_HUMAN,HK1,8.99,3,0.056950026,0.190780232
MICU1_HUMAN,MICU1,2.59,1.61,0.054821276,0.159885586
PREB_HUMAN,PREB,2.16,1.47,0.054594354,-0.201897303
FRG1_HUMAN,FRG1,1.03,1.02,0.054072689,0.178715364
ROCK1_HUMAN,ROCK1,1.2,1.1,0.053516677,0.176472646
LIPA1_HUMAN,PPFIA1,1.04,1.02,0.052848664,-0.154445528
GOGA2_HUMAN,GOLGA2,2.53,1.59,0.052402662,0.182580588
PHB2_HUMAN,PHB2,2.5,1.58,0.052004846,-0.224295394
ABCF3_HUMAN,ABCF3,0,0,0.051488129,-0.0849993
DDX54_HUMAN,DDX54,2.63,1.62,0.050919024,0.280724639
RPN1_HUMAN,RPN1,1.45,1.21,0.050865687,-0.172164221
RL12_HUMAN,RPL12,0,0,0.050100195,0.118467499
MET13_HUMAN,METTL13,4.99,2.23,0.049871351,0.132989068
SNX1_HUMAN,SNX1,2.19,1.48,0.049263244,-0.197579894
RS3_HUMAN,RPS3,4.16,2.04,0.048993122,0.168472986
LYAR_HUMAN,LYAR,5.74,2.4,0.048950296,-0.087887722
RL21_HUMAN,RPL21,3.01,1.74,0.048239628,0.180417223
C1TC_HUMAN,MTHFD1,3.67,1.92,0.048192111,0.191342204
ZN281_HUMAN,ZNF281,2.4,1.55,0.048061055,0.151004143
PI51A_HUMAN,PIP5K1A,1.08,1.04,0.047917143,-0.177564333
VINC_HUMAN,VCL,0.86,0.93,0.047808776,0.237780529
ARRB2_HUMAN,ARRB2,1.89,1.37,0.04729623,-0.17572385
COPG1_HUMAN,COPG1,0,0,0.04658212,0.125346154
MIC19_HUMAN,CHCHD3,0,0,0.04626682,-0.070905829
P3C2B_HUMAN,PIK3C2B,1.7,1.3,0.04583318,-0.117653277
EMD_HUMAN,EMD,1.67,1.29,0.045820212,-0.123496853
JPH1_HUMAN,JPH1,4.19,2.05,0.045476399,0.12804462
CHMP5_HUMAN,CHMP5,0,0,0.045258794,0.131118367
NOP58_HUMAN,NOP58,3.07,1.75,0.044691705,0.14878814
ATPG_HUMAN,ATP5F1C,3.28,1.81,0.044153188,0.157904871
RGPA1_HUMAN,RALGAPA1,1.47,1.21,0.043687449,-0.114474698
CX056_HUMAN,CXorf56,1.08,1.04,0.043556771,0.163365886
CAAP1_HUMAN,CAAP1,0,0,0.043388952,0.117895642
RS25_HUMAN,RPS25,2.7,1.64,0.042570089,-0.112041329
MED1_HUMAN,MED1,0,0,0.042186698,-0.081722463
CL043_HUMAN,CUSTOS,0,0,0.041754229,0.120242641
MYCB2_HUMAN,MYCBP2,5.02,2.24,0.041191172,-0.198456902
RS29_HUMAN,RPS29,1.79,1.34,0.040929374,-0.207485907
S38A2_HUMAN,SLC38A2,0,0,0.040723232,0.171641836
KPYM_HUMAN,PKM,2.41,1.55,0.040252225,0.12713803
IPO9_HUMAN,IPO9,0,0,0.039424401,0.099782608
STAT3_HUMAN,STAT3,1.35,1.16,0.038120483,-0.123641416
LC7L2_HUMAN,LUC7L2,0.97,0.99,0.038074369,-0.171600342
PGAM5_HUMAN,PGAM5,2.36,1.54,0.037829327,-0.091624338
AR6P4_HUMAN,ARL6IP4,1.77,1.33,0.037082125,-0.141232185
GCC2_HUMAN,GCC2,8.44,2.91,0.035712268,0.195918365
CK049_HUMAN,C11orf49,2.12,1.46,0.035707569,0.091037606
PEX19_HUMAN,PEX19,0.99,0.99,0.035195127,0.139974726
AIFM1_HUMAN,AIFM1,3.96,1.99,0.033228179,0.094981667
NUMB_HUMAN,NUMB,2.46,1.57,0.03274108,0.127912137
DHRS7_HUMAN,DHRS7,1.18,1.08,0.032395991,-0.119017571
RS11_HUMAN,RPS11,3.1,1.76,0.032298955,0.122516812
ARGL1_HUMAN,ARGLU1,6.36,2.52,0.031880539,0.143069045
UBXN4_HUMAN,UBXN4,3.46,1.86,0.031676669,0.080544754
TMA16_HUMAN,TMA16,2.33,1.53,0.031061861,-0.12965038
RAB7A_HUMAN,RAB7A,13.21,3.63,0.029874346,0.142107358
MPCP_HUMAN,SLC25A3,2.73,1.65,0.029618293,-0.075117531
DHX9_HUMAN,DHX9,1.99,1.41,0.02951558,0.063969582
OCAD1_HUMAN,OCIAD1,3.42,1.85,0.029399266,-0.09516259
SC16A_HUMAN,SEC16A,1.76,1.33,0.028938969,0.104945633
IF2P_HUMAN,EIF5B,5.32,2.31,0.028710188,-0.108628603
SGT1_HUMAN,SUGT1,3.66,1.91,0.028492934,0.111843829
RAB6A_HUMAN,RAB6A,38.49,6.2,0.027480984,0.134643435
,,,,,
RL37A_HUMAN,RPL37A,3.85,1.96,0.026126275,-0.072834627
UBC12_HUMAN,UBE2M,0,0,0.02508863,0.085468964
SCYL1_HUMAN,SCYL1,0,0,0.02417781,0.066189376
OSB11_HUMAN,OSBPL11,1.21,1.1,0.02397309,0.064314236
DAXX_HUMAN,DAXX,2.33,1.53,0.023932052,-0.089896952
RL38_HUMAN,RPL38,2.63,1.62,0.023165899,0.089274796
TBL2_HUMAN,TBL2,0.83,0.91,0.023029134,-0.081993343
NFXL1_HUMAN,NFXL1,1.9,1.38,0.021428298,-0.052863595
RL7A_HUMAN,RPL7A,2.87,1.69,0.021312856,0.066604314
NOP56_HUMAN,NOP56,2.92,1.71,0.020859239,0.09882747
BPNT1_HUMAN,BPNT1,0,0,0.020019391,-0.056816809
CHD7_HUMAN,CHD7,0,0,0.019908932,-0.036721224
CD2AP_HUMAN,CD2AP,3.34,1.83,0.019534564,-0.090570558
RL19_HUMAN,RPL19,3.95,1.99,0.019359237,-0.027147857
KAP2_HUMAN,PRKAR2A,3.05,1.75,0.018850768,-0.080996987
HMOX2_HUMAN,HMOX2,0.91,0.95,0.017459288,-0.069139804
TTC3_HUMAN,TTC3,5.25,2.29,0.017158155,-0.068502762
TPR_HUMAN,TPR,8.53,2.92,0.016956262,-0.060462064
NOC2L_HUMAN,NOC2L,0,0,0.01646152,-0.047771958
RHOA_HUMAN,RHOA,3.86,1.97,0.016188754,0.093864549
VAPB_HUMAN,VAPB,2.47,1.57,0.014939968,-0.048507427
TBCD4_HUMAN,TBC1D4,15.31,3.91,0.01470853,-0.04751425
ENOA_HUMAN,ENO1,2.11,1.45,0.013316898,-0.04760729
TOM70_HUMAN,TOMM70,3.41,1.85,0.011922975,-0.036349411
NEK9_HUMAN,NEK9,0,0,0.011905044,0.041584543
FHL1_HUMAN,FHL1,0,0,0.01182443,-0.041123468
TACC1_HUMAN,TACC1,3.37,1.83,0.011514503,0.064273906
ANR26_HUMAN,ANKRD26,1.8,1.34,0.011478238,0.046236146
PEX3_HUMAN,PEX3,0,0,0.008480708,0.029340348
PR40A_HUMAN,PRPF40A,3.36,1.83,0.008111545,0.0379506
SGPL1_HUMAN,SGPL1,0.97,0.99,0.007340409,-0.033771611
JHD2C_HUMAN,JMJD1C,2.19,1.48,0.007072023,-0.015690354
NPM_HUMAN,NPM1,1.21,1.1,0.006118391,0.024021964
PRR11_HUMAN,PRR11,0,0,0.004333158,0.010877885
PDLI4_HUMAN,PDLIM4,0,0,0.003610622,-0.011784356
RL4_HUMAN,RPL4,0,0,0.002897432,0.009992755
ROCK2_HUMAN,ROCK2,4.19,2.05,0.002463461,0.008958049
ARL1_HUMAN,ARL1,1.96,1.4,0.002363572,0.006010907
UB2J1_HUMAN,UBE2J1,3.44,1.86,0.002166102,-0.008076986
HGS_HUMAN,HGS,0,0,0.001558399,-0.004676927
UBP14_HUMAN,USP14,0,0,0.000695254,-0.001732592
SRRM1_HUMAN,SRRM1,3.46,1.86,0.000421897,-0.002090166
PRDX2_HUMAN,PRDX2,2.94,1.71,0.000239676,0.000480424
SYAP1_HUMAN,SYAP1,2.6,1.61,3.41E-05,0.000114933
UACA_HUMAN,UACA,3.62,1.9,1.28E-05,-5.35E-05
