Gene,log2_FoldChange,minus_log10_pvalue
LATS2,-0.2572,0.333201316
SAP18,-0.01672,0.040624663
SKA3,-0.41,0.577082019
MRP63,0.04551,0.064795133
EFHA1,-0.07486,0.10885297
FGF9,0.1274,0.234778634
BASP1P1,-0.3759,0.491470281
SACS,-0.03176,0.043687469
LINC00327,0.2044,0.220836576
TNFRSF19,-0.4181,0.631341288
MIPEP,0.04541,0.04349541
C1QTNF9B-AS1,-0.06312,0.060131456
SPATA13,0.1729,0.259400487
C1QTNF9,-0.2993,0.388595362
PARP4,-0.3629,0.564474149
ATP12A,-0.2508,0.287266141
CENPJ,0.0652,0.136023216
FAM123A,0.277,0.502103257
MTMR6,0.08418,0.298345683
NUPL1,-0.01204,0.018317273
ATP8A2,-0.01692,0.023650021
RNF6,-0.1108,0.218675544
CDK8,-0.08183,0.114017189
WASF3,0.0477,0.079824478
GPR12,0.5597,0.969805215
SNORD102,-0.2523,0.305394801
SNORA27,-0.2664,0.329661359
RASL11A,-0.3188,0.457423524
GTF3A,-0.0974,0.201004266
MTIF3,0.00179,0.004277078
LNX2,-0.278,0.916855857
POLR1D,-0.2772,0.439615077
GSX1,-0.1198,0.139542205
ATP5EP2,-0.1521,0.33460665
FLT3,-0.4961,0.68655463
PAN3-AS1,-0.2135,0.351835221
PAN3,-0.141,0.362910726
POMP,0.09116,0.176134691
SLC46A3,-0.3422,0.492144128
MTUS2,0.3264,0.469800302
SLC7A1,0.009714,0.013362604
UBL3,-0.09734,0.210419288
KATNAL1,0.1897,0.505845406
HMGB1,0.04901,0.136915175
USPL1,0.1843,0.351152292
ALOX5AP,0.1971,0.210913085
C13orf33,-0.34,0.433209088
TEX26,0.2443,0.275396485
HSPH1,-0.1777,0.269217724
B3GALTL,-0.2455,0.30434324
FRY,0.2015,0.289882635
BRCA2,-0.3808,0.498119506
N4BP2L1,-0.103,0.103970088
N4BP2L2,0.02863,0.073040512
PDS5B,0.0488,0.111090741
KL,0.1307,0.1340082
RFC3,-0.1557,0.2367967
NBEA,0.1168,0.271483895
MAB21L1,-0.03096,0.028260409
DCLK1,0.1952,0.522300072
CCDC169,-0.333,0.475084852
SPG20,-0.2396,0.511731385
SPG20OS,-0.3916,0.532096053
CCNA1,-0.3422,0.637517525
SERTM1,0.4442,0.589391457
RFXAP,0.05535,0.108239599
SMAD9,-0.3387,0.780415474
ALG5,-0.008112,0.012959713
EXOSC8,-0.1054,0.208941256
FAM48A,-0.02214,0.070172519
CSNK1A1L,0.004333,0.00762324
TRPC4,-0.1707,0.25469094
UFM1,0.1565,0.374996399
STOML3,-0.07318,0.072014053
PROSER1,0.01654,0.040100412
NHLRC3,-0.1124,0.285502591
LHFP,-0.2698,0.368657714
COG6,0.2292,0.448428026
TTL,-0.006706,0.020360588
FOXO1,-0.3422,0.834458923
MRPS31,0.01188,0.015337694
SLC25A15,-0.08922,0.280668713
LOC100616668,0.3473,0.558776326
SUGT1P3,0.2461,0.276134036
WBP4,0.08603,0.18124641
KBTBD7,0.2862,0.855425792
MTRF1,0.1566,0.37089635
NAA16,-0.3136,0.557363474
C13orf15,-0.1764,0.189095719
LOC100507240,0.3093,0.40494491
DGKH,-0.1566,0.19859629
AKAP11,0.2016,0.755970411
FAM216B,0.556,0.850472986
EPSTI1,-0.2317,0.255941834
DNAJC15,-0.1781,0.188559056
ENOX1,0.1046,0.13578567
CCDC122,0.2358,0.261853911
LACC1,0.1426,0.17327748
SERP2,0.39,0.519561853
TSC22D1,0.006046,0.01461844
TSC22D1-AS1,0.2272,0.571703186
NUFIP1,0.003547,0.00656377
KIAA1704,-0.03121,0.076445142
GTF2F2,0.06322,0.144420277
KCTD4,-0.05257,0.048954052
TPT1,-0.39,0.659357622
SNORA31,-0.2413,0.26897562
TPT1-AS1,-0.198,0.354283061
SLC25A30,-0.2738,0.56082526
COG3,0.0812,0.192735645
FAM194B,0.04138,0.039291448
ZC3H13,0.07185,0.222428195
LOC100509894,0.147,0.230032199
KIAA0226L,0.2349,0.297569464
LRCH1,-0.3383,0.631713115
ESD,-0.2024,0.449282577
HTR2A,0.1007,0.098378236
SUCLA2,0.03247,0.109187901
NUDT15,-0.1402,0.523458191
MED4,0.02552,0.036920839
ITM2B,-0.1819,0.680685696
RB1,-0.0194,0.036401037
LPAR6,-0.5248,0.801342913
RCBTB2,-0.2299,0.649364392
CYSLTR2,-0.4853,0.68131073
FNDC3A,-0.1266,0.410162057
CDADC1,0.2017,0.361610592
SETDB2,0.03462,0.085762652
PHF11,-0.1132,0.134599882
RCBTB1,0.09053,0.432385557
EBPL,-0.2333,0.589897923
KPNA3,0.04757,0.147825096
CTAGE10P,-0.0443,0.040958608
SPRYD7,0.2108,0.574139855
DLEU2,0.253,0.557520231
KCNRG,0.3951,0.508078287
ST13P4,-0.05233,0.049586461
DLEU7,-0.01174,0.010817249
RNASEH2B,-0.1776,0.253755128
FAM124A,0.4275,0.875169851
SERPINE3,0.2247,0.258690791
INTS6,-0.03492,0.085656843
WDFY2,0.04615,0.081917215
DHRS12,-0.08291,0.197021145
LINC00282,0.3692,0.65130581
ATP7B,-0.07825,0.184887342
ALG11,-0.01015,0.009972101
UTP14C,0.0263,0.040100412
NEK5,-0.1017,0.100507804
NEK3,-0.2786,0.610656689
THSD1P1,0.2112,0.45259454
THSD1,0.03425,0.032826577
VPS36,0.01022,0.019496682
CKAP2,-0.264,0.572513891
TPTE2P3,0.01492,0.013407393
HNRNPA1L2,0.1576,0.422623108
SUGT1,-0.02429,0.031236952
LECT1,-0.4076,0.524910197
PCDH8,0.2987,0.667157733
OLFM4,0.1867,0.211760903
PCDH20,0.1493,0.155088126
PCDH9,0.2205,0.356843534
KLHL1,0.3291,0.399898744
ATXN8OS,-0.006987,0.007313961
DACH1,0.3564,0.56035157
MZT1,-0.01119,0.017774008
BORA,-0.2205,0.314258261
DIS3,0.1021,0.255863548
PIBF1,0.05244,0.098214855
KLF12,0.2362,0.781727146
TBC1D4,-0.4911,0.94577009
COMMD6,-0.09423,0.153662888
UCHL3,0.1489,0.34275287
CLN5,-0.01084,0.015337694
FBXL3,-0.09364,0.4867824
MYCBP2,0.2402,0.740406121
SCEL,-0.1853,0.205930416
SLAIN1,0.08899,0.19314197
EDNRB,0.02762,0.031470356
RNF219,0.05484,0.119758224
RBM26,-0.07605,0.290984583
RBM26-AS1,0.2025,0.222065951
NDFIP2,0.1666,0.293452897
SPRY2,-0.1368,0.218101081
SLITRK6,-0.3873,0.494578672
MIR4500HG,0.09919,0.117646254
MIR17HG,-0.3436,0.465846926
TGDS,-0.04517,0.063235002
GPR180,-0.1453,0.33245366
SOX21,-0.1464,0.160082224
DZIP1,-0.1098,0.292685366
HS6ST3,0.1385,0.165007396
OXGR1,-0.02023,0.018271975
IPO5,-0.3469,0.787546039
DOCK9,-0.3672,0.518844129
UBAC2-AS1,0.4334,0.744245213
UBAC2,-0.2183,0.74836178
TM9SF2,0.0189,0.027241916
CLYBL,-0.4541,0.844360366
ZIC5,-0.2957,0.348237553
ZIC2,-0.3924,0.531062194
PCCA,-0.08379,0.198459094
A2LD1,0.2619,0.327717375
TMTC4,0.1881,0.663940722
NALCN,0.03994,0.041149548
ITGBL1,0.5555,0.95546024
FGF14,0.2094,0.311135432
FGF14-IT1,-0.3098,0.373865021
LOC283481,0.0638,0.07717078
TPP2,-0.1944,0.775208044
CCDC168,0.2863,0.336770365
TEX30,0.3038,0.623970818
BIVM,0.1126,0.255941834
ERCC5,0.06075,0.10380459
EFNB2,0.2264,0.437826137
ARGLU1,-0.1481,0.172114017
FAM155A,0.2815,0.601886308
ABHD13,0.06942,0.170438944
TNFSF13B,0.07017,0.066715228
MYO16,-0.05215,0.06722193
IRS2,0.1244,0.154034238
CARKD,0.1206,0.473144013
CARS2,-0.1733,0.389127
ING1,-0.1168,0.211336787
LINC00346,-0.379,0.493494968
ANKRD10,-0.2487,0.319845858
ARHGEF7,0.2787,0.886390849
TEX29,0.3041,0.358426747
SOX1,-0.1467,0.157453164
TUBGCP3,-0.1172,0.337147767
ATP11A,-0.06615,0.119987162
F10,-0.343,0.523023534
PROZ,-0.3515,0.445026542
PCID2,-0.02235,0.053253065
CUL4A,-0.08374,0.123782159
LAMP1,-0.3316,0.780153614
ADPRHL1,-0.06816,0.078781879
DCUN1D2,0.2911,0.767766479
TMCO3,-0.1064,0.182302445
TFDP1,-0.1089,0.130123187
ATP4B,0.2487,0.285586408
LINC00552,0.1419,0.148558185
FAM70B,-0.2445,0.287602869
GAS6,-0.01691,0.021363052
FLJ41484,-0.2849,0.336204878
LOC100506394,0.04434,0.0473044
RASA3,-0.02618,0.039338993
CDC16,-0.03591,0.156331277
UPF3A,-0.2357,0.630784143
CHAMP1,0.15,0.468776625
TTC5,0.2774,0.723308471
CCNB1IP1,-0.37,0.604149624
RPPH1,-0.1895,0.24672343
TEP1,-0.2979,0.57741016
OSGEP,-0.04226,0.095068173
APEX1,-0.2112,0.479516467
TMEM55B,0.01738,0.02691835
PNP,-0.1904,0.404834585
METTL17,-0.2083,0.38902062
ARHGEF40,-0.1262,0.296192935
ZNF219,-0.04467,0.093341782
C14orf176,0.04509,0.059981845
LOC283624,0.2131,0.732124581
HNRNPC,-0.07163,0.094960072
RPGRIP1,-0.2674,0.361211333
SUPT16H,0.02931,0.069356559
CHD8,0.1846,0.877456476
TOX4,0.03056,0.111034656
METTL3,-0.05392,0.12720296
SALL2,0.15,0.340178842
DAD1,0.07803,0.149966742
ABHD4,-0.3215,0.736127323
OXA1L,-0.2799,0.518270803
SLC7A7,-0.3126,0.475214551
MRPL52,-0.0696,0.195792395
REM2,0.2473,0.313631897
RBM23,0.09733,0.336393292
PRMT5,0.01067,0.025442255
AJUBA,-0.3194,0.423773863
C14orf93,-0.1911,0.657182685
PSMB5,-0.166,0.311580178
ACIN1,-0.1026,0.301203748
C14orf119,0.09256,0.107293362
SLC7A8,-0.363,0.577902837
HOMEZ,-0.004807,0.004628094
PPP1R3E,0.0739,0.078365539
BCL2L2,-0.01472,0.037346595
PABPN1,-0.08384,0.091193401
SLC22A17,0.2453,0.875495775
EFS,-0.2144,0.302596277
MYH6,-0.1372,0.147581007
MYH7,0.418,0.663740448
NGDN,-0.004719,0.006916639
AP1G2,0.07838,0.076082777
JPH4,0.3911,0.741841807
DHRS2,-0.1734,0.199626645
C14orf167,0.2898,0.537003388
DHRS4,-0.1887,0.210489796
DHRS4L2,-0.5004,0.775208044
DHRS4L1,-0.1821,0.194159451
LRRC16B,-0.05453,0.054629906
NRL,0.1757,0.337809009
DCAF11,0.0765,0.170117554
FITM1,-0.01767,0.016193358
PSME1,-0.1818,0.466100899
FAM158A,-0.1507,0.357931373
PSME2,-0.04238,0.110810388
RNF31,-0.07038,0.221197796
IRF9,-0.06016,0.134422293
REC8,0.467,0.819874125
IPO4,-0.1978,0.461175011
TM9SF1,-0.0392,0.069050969
TSSK4,-0.1572,0.208941256
CHMP4A,-0.09297,0.191451449
MDP1,0.01993,0.02008759
NEDD8,-0.1048,0.380489279
GMPR2,-0.08775,0.172049472
TINF2,0.1544,0.474825572
TGM1,0.0263,0.025580426
RABGGTA,-0.05668,0.234778634
DHRS1,-0.06383,0.249183157
C14orf21,0.1755,0.899629455
CIDEB,0.1334,0.464452721
LTB4R2,-0.06766,0.064291252
LTB4R,-0.06897,0.070274622
ADCY4,-0.05687,0.056554951
CBLN3,-0.4973,0.693574972
KHNYN,-0.2579,0.487449007
SDR39U1,0.03958,0.06722193
LOC100505967,-0.1048,0.103473783
FOXG1,-0.3934,0.534171185
C14orf23,-0.335,0.51698358
PRKD1,-0.5055,0.962573502
G2E3,-0.1211,0.216954428
SCFD1,0.008284,0.013541787
COCH,-0.1773,0.330776126
LOC100506071,-0.1358,0.138226703
STRN3,0.01723,0.07139934
AP4S1,0.221,0.414652089
HECTD1,-0.0706,0.176069545
HEATR5A,0.04304,0.048905443
C14orf126,0.1843,0.237321436
NUBPL,-0.1173,0.220547817
ARHGAP5-AS1,0.2198,0.279840697
ARHGAP5,0.0689,0.204537106
AKAP6,0.3252,0.745210313
NPAS3,0.2399,0.365321248
EGLN3,0.01615,0.014573526
SPTSSA,-0.0861,0.196679476
EAPP,0.08051,0.200521601
SNX6,-0.1927,0.617622697
CFL2,0.09841,0.437112619
BAZ1A,-0.21,0.576590272
IGBP1P1,-0.1452,0.178028182
SRP54,0.2014,0.677780705
FAM177A1,0.1005,0.29191919
PPP2R3C,0.1153,0.266241164
KIAA0391,-0.003315,0.004891542
PSMA6,0.03536,0.067526235
NFKBIA,-0.1496,0.483596852
RALGAPA1,0.1958,0.898252926
BRMS1L,0.06155,0.077274542
MBIP,-0.08359,0.274660184
NKX2-8,0.2101,0.273191317
PAX9,-0.3884,0.495937117
SLC25A21,-0.3221,0.473144013
LOC100129794,0.2625,0.721703792
MIPOL1,-0.287,0.479385478
FOXA1,0.2563,0.289459552
SSTR1,0.08106,0.079042294
SEC23A,-0.1069,0.212539525
GEMIN2,0.1948,0.575771929
TRAPPC6B,0.2411,0.801893001
PNN,-0.1961,0.269379202
CTAGE5,-0.04203,0.113734941
LOC100288846,0.1956,0.232102384
FBXO33,-0.09834,0.317764643
LRFN5,-0.1853,0.29081487
C14orf28,0.1167,0.163739197
KLHL28,0.1653,0.245345931
FAM179B,-0.01202,0.038863783
PRPF39,-0.128,0.203148251
FKBP3,0.06289,0.123897679
FANCM,-0.2178,0.584692708
MDGA2,0.06801,0.099632871
LOC100506433,-0.3813,0.522734005
RPS29,-0.3292,0.570409198
LRR1,-0.1224,0.158890916
RPL36AL,-0.2691,0.726767166
MGAT2,0.02588,0.026779753
DNAAF2,0.1673,0.333294864
POLE2,-0.1678,0.184023999
KLHDC1,0.3182,0.511731385
KLHDC2,0.1502,0.527828853
NEMF,0.04899,0.126912014
ARF6,-0.03942,0.096638664
C14orf182,0.2316,0.289882635
METTL21D,-0.04537,0.05139145
SOS2,-0.07725,0.141583122
L2HGDH,-0.04661,0.077949598
ATP5S,-0.0266,0.03277974
CDKL1,-0.1882,0.283746174
MAP4K5,-0.007209,0.020542682
ATL1,0.1854,0.341606974
SAV1,-0.2039,0.418164076
NIN,-0.1282,0.287182
ABHD12B,0.1575,0.164626548
TRIM9,0.181,0.355856949
TMX1,0.1163,0.190171039
FRMD6-AS1,-0.1605,0.175874166
C14orf166,-0.24,0.599289363
PTGER2,-0.4548,0.613679426
TXNDC16,-0.04506,0.066310291
GPR137C,0.1998,0.229589868
ERO1L,-0.2349,0.565750548
PSMC6,-0.06885,0.121650578
STYX,-0.06057,0.116679322
GNPNAT1,-0.2344,0.616364132
DDHD1,0.05085,0.097833871
CDKN3,-0.4559,0.807153885
CNIH,-0.03723,0.076082777
GMFB,0.1183,0.231806038
CGRRF1,0.2466,0.904133547
SAMD4A,-0.02166,0.025304128
GCH1,-0.144,0.177243667
WDHD1,-0.05535,0.063335487
SOCS4,0.04675,0.0910327
MAPK1IP1L,-0.09795,0.331334585
FBXO34,0.1308,0.483068191
ATG14,-0.2405,0.513286224
KTN1-AS1,0.02539,0.035080706
RPL13AP3,-0.4411,0.658961368
PELI2,-0.08301,0.103749438
C14orf101,-0.06126,0.140261434
OTX2OS1,0.5173,0.734946211
EXOC5,0.1288,0.487983031
MUDENG,0.1936,0.579714115
NAA30,0.09225,0.289713352
C14orf105,0.2278,0.268733651
SLC35F4,0.2523,0.293709043
C14orf37,-0.06183,0.123147352
PSMA3,0.004553,0.008021209
FLJ31306,-0.01623,0.026733564
TOMM20L,0.08688,0.101329657
TIMM9,-0.1106,0.200314909
KIAA0586,0.07898,0.129362037
DACT1,-0.1168,0.167938385
DAAM1,0.08252,0.161339774
GPR135,0.04969,0.056604423
JKAMP,-0.1162,0.361910278
C14orf38,-0.2681,0.306448914
RTN1,0.1082,0.164309429
C14orf135,-0.01107,0.023420781
DHRS7,0.0188,0.031236952
PPM1A,0.08723,0.150703459
MNAT1,0.1076,0.269459964
TRMT5,0.08537,0.198802166
SLC38A6,-0.1919,0.704652852
PRKCH,0.2771,0.31930197
HIF1A,-0.1858,0.716472635
SNAPC1,-0.1905,0.383839687
SYT16,0.4037,0.654822383
FLJ43390,0.1958,0.216739767
KCNH5,-0.03154,0.037820147
PPP2R5E,0.1386,0.590743348
WDR89,0.0577,0.191653964
SYNE2,-0.2084,0.524328812
ESR2,0.156,0.182699122
TEX21P,0.1208,0.130181792
MTHFD1,-0.2804,0.511731385
AKAP5,0.2781,0.413187731
ZBTB25,-0.1509,0.388701638
ZBTB1,-0.08219,0.1103622
HSPA2,0.3224,0.389659289
PPP1R36,-0.07665,0.073657553
PLEKHG3,-0.2455,0.461929213
SPTB,0.2374,0.303731003
CHURC1,-0.05222,0.053056729
GPX2,0.2789,0.351152292
RAB15,0.1536,0.279179418
FNTB,-0.11,0.114582235
MAX,-0.02141,0.040481623
FUT8,0.05262,0.097616316
LOC645431,-0.1561,0.175939283
GPHN,0.169,0.466990978
MPP5,0.05526,0.117361638
ATP6V1D,0.1365,0.310069896
EIF2S1,0.1171,0.399353764
PLEKHH1,0.09399,0.133181197
PIGH,0.2263,0.638083381
ARG2,0.1376,0.243592127
VTI1B,-0.04276,0.11650891
RDH11,0.0217,0.087193607
RDH12,0.0114,0.010194349
ZFYVE26,-0.02703,0.048613905
RAD51B,0.1032,0.175418624
ZFP36L1,-0.4353,0.781989957
DCAF5,0.0618,0.137749325
EXD2,0.07327,0.262489309
GALNTL1,0.168,0.271971046
ERH,0.0583,0.128427064
SLC39A9,0.1284,0.536554968
PLEKHD1,-0.3429,0.468265691
C14orf162,0.3401,0.461803422
KIAA0247,-0.2421,0.454074671
SRSF5,0.05913,0.132768285
SLC10A1,0.4028,0.541060138
SMOC1,-0.5816,0.875169851
SLC8A3,0.4908,0.818442226
COX16,0.04235,0.08055579
SYNJ2BP,-0.1231,0.376543952
ADAM21,0.304,0.358922687
ADAM20,-0.2475,0.282579163
MED6,0.1679,0.512013669
TTC9,0.2946,0.622693749
MAP3K9,0.335,0.750068243
PCNX,0.05745,0.120158944
SIPA1L1,-0.3348,0.499214827
RGS6,-0.4332,0.631713115
DPF3,0.08465,0.098378236
DCAF4,-0.1168,0.19990182
ZFYVE1,0.05349,0.231583912
RBM25,-0.2798,0.410273744
PSEN1,0.06311,0.342370569
NUMB,-0.2277,0.560983272
HEATR4,0.05486,0.053302163
C14orf169,0.1779,0.329661359
ACOT1,-0.4386,0.593800576
ACOT2,-0.1575,0.179929966
ACOT4,-0.5268,0.747389659
DNAL1,0.05875,0.072578305
PNMA1,0.207,0.56944123
C14orf43,-0.1212,0.236871623
PTGR2,0.09032,0.138286412
ZNF410,-0.05935,0.180456064
COQ6,0.04663,0.113227357
ENTPD5,-0.3279,0.581367313
C14orf45,0.1195,0.128602219
ALDH6A1,-0.3456,0.562883907
LIN52,0.142,0.418164076
VSX2,-0.4062,0.537901619
ABCD4,-0.08055,0.117304738
SYNDIG1L,-0.05276,0.051684859
ISCA2,-0.0196,0.032545632
KIAA0317,0.2496,0.652669985
FCF1,0.06818,0.149966742
YLPM1,0.1197,0.39870069
DLST,-0.04493,0.170117554
RPS6KL1,0.3243,0.457921854
PGF,-0.03639,0.046336936
EIF2B2,0.05622,0.099305226
MLH3,0.138,0.194227368
ACYP1,0.05474,0.073143291
NEK9,-0.01533,0.017819254
FOS,-0.3082,0.645891561
LOC731223,0.2152,0.246034134
JDP2,-0.5418,0.965371543
FLVCR2,-0.5776,0.857610534
C14orf1,-0.07189,0.186619193
TTLL5,-0.1312,0.259558355
IFT43,0.2103,0.775985189
C14orf118,0.05939,0.111427403
ESRRB,-0.06467,0.061180175
IRF2BPL,0.1081,0.18482087
ZDHHC22,0.5895,0.965371543
TMEM63C,0.5251,0.959793372
NGB,-0.2082,0.239426746
POMT2,-0.04765,0.121363327
GSTZ1,0.01327,0.020315076
TMED8,0.1839,0.349789645
SAMD15,-0.08422,0.08107891
NOXRED1,-0.1327,0.148374797
C14orf133,-0.1747,0.452840879
AHSA1,0.1063,0.216954428
ISM2,-0.3652,0.528855035
SPTLC2,-0.1075,0.285837954
ALKBH1,-0.04786,0.05843888
SLIRP,0.03844,0.071041159
SNW1,-0.05677,0.156144577
C14orf178,0.0532,0.054334501
ADCK1,-0.0402,0.068542129
NRXN3,-0.004296,0.004452551
DIO2,-0.2835,0.32817944
CEP128,-0.4075,0.805208242
TSHR,-0.07399,0.070529984
GTF2A1,0.1485,0.559405738
STON2,0.2294,0.427244535
SEL1L,-0.124,0.270268405
GALC,-0.09568,0.1316495
PTPN21,0.004801,0.006696062
ZC3H14,-0.02681,0.06469431
EML5,0.1876,0.411056357
TTC8,-0.005388,0.008419543
FOXN3,-0.0733,0.091729501
LOC400236,-0.06807,0.064391981
TDP1,0.1303,0.303731003
KCNK13,0.07252,0.069866354
PSMC1,-0.01817,0.038863783
C14orf102,0.1007,0.191114133
TTC7B,0.02809,0.053695145
RPS6KA5,-0.002916,0.006696062
C14orf159,0.03198,0.05764465
GPR68,0.1255,0.175874166
CCDC88C,0.1451,0.39968067
SMEK1,-0.04517,0.150089442
CATSPERB,-0.2589,0.294392837
TC2N,-0.2181,0.248951965
TRIP11,-0.1571,0.37644061
ATXN3,0.09946,0.166980453
CPSF2,-0.02263,0.039434097
LGMN,-0.2087,0.377061031
GOLGA5,0.01072,0.017457418
CHGA,0.4471,0.80631897
ITPK1,0.1572,0.505845406
C14orf109,0.1801,0.635261445
C14orf142,0.4262,0.705313376
UBR7,0.01517,0.035881857
BTBD7,-0.2658,0.862962545
UNC79,0.3754,0.558776326
COX8C,-0.1425,0.175483672
PRIMA1,-0.04612,0.056901377
FAM181A-AS1,0.0426,0.039624369
FAM181A,0.3038,0.358525889
ASB2,-0.2037,0.268491816
OTUB2,0.2858,0.594312213
DDX24,0.07581,0.124071015
IFI27L1,0.1128,0.2644011
IFI27,0.2247,0.364817951
IFI27L2,-0.0672,0.178093623
PPP4R4,-0.08846,0.140081515
SERPINA10,-0.1442,0.177243667
SERPINA1,0.2403,0.268250116
DICER1,0.2087,0.609064893
CLMN,-0.4703,0.729088361
SNHG10,-0.01224,0.014573526
GLRX5,-0.05366,0.113904268
LOC100507043,0.08005,0.089909454
C14orf132,0.2539,0.565271458
BDKRB2,-0.3154,0.377268035
BDKRB1,-0.3569,0.490259984
C14orf129,0.1509,0.27433334
AK7,0.1715,0.185952279
PAPOLA,0.05389,0.145390362
VRK1,-0.08673,0.128894299
BCL11B,0.1829,0.201280315
SETD3,0.1612,0.852014679
CCNK,-0.07884,0.163612581
CCDC85C,0.0998,0.202109517
CYP46A1,0.03534,0.049051286
EML1,0.1044,0.135310966
EVL,0.05959,0.091568601
DEGS2,0.009321,0.009572342
YY1,-0.07622,0.171597922
SLC25A29,0.0159,0.018000286
WARS,-0.2582,0.414652089
WDR25,0.06518,0.158265221
BEGAIN,0.3296,0.502932064
RTL1,-0.5982,0.913284336
MEG8,-0.05352,0.079250739
DIO3OS,-0.3376,0.41128022
MIR1247,-0.1993,0.215882184
PPP2R5C,-0.06288,0.200659451
HSP90AA1,-0.1115,0.171533453
WDR20,0.1331,0.513144645
MOK,0.2035,0.315603522
ZNF839,0.1169,0.240483241
CINP,0.0726,0.14691047
ANKRD9,0.08959,0.233289793
RCOR1,-0.2403,0.810509686
TRAF3,0.2018,0.351835221
AMN,0.3858,0.489589052
CDC42BPB,0.04137,0.126330707
TNFAIP2,-0.04015,0.069968385
EIF5,0.1755,0.37788964
MARK3,0.08154,0.441771578
CKB,0.02396,0.03881629
TRMT61A,0.05039,0.122628654
APOPT1,0.0841,0.226067353
KLC1,0.3184,0.876148359
XRCC3,-0.2479,0.487582451
ZFYVE21,-0.1871,0.889747083
PPP1R13B,0.05767,0.104080455
LOC145216,-0.3029,0.384997385
C14orf2,-0.09001,0.182897596
KIF26A,0.3112,0.591251394
TMEM179,0.2724,0.714667772
INF2,-0.2788,0.45655282
SIVA1,-0.08907,0.178290003
AKT1,0.08075,0.261774552
ZBTB42,0.05464,0.057991947
MGC23270,-0.05701,0.054137676
KIAA0284,0.0361,0.046772028
PLD4,-0.2653,0.30390584
C14orf79,0.0838,0.095554959
CDCA4,-0.3083,0.538201442
GPR132,-0.2962,0.382475465
JAG2,-0.1704,0.275560277
NUDT14,-0.3235,0.682145511
BRF1,0.165,0.304868702
BTBD6,0.02233,0.047885915
PACS2,0.0476,0.201902068
TEX22,-0.1162,0.127552352
MTA1,-0.1497,0.205721134
CRIP2,-0.02828,0.044697177
CRIP1,-0.1535,0.16127681
C14orf80,-0.106,0.117418546
HERC2P3,0.05975,0.068440433
NBEAP1,0.1002,0.131003098
LOC646214,0.0757,0.084020086
TUBGCP5,0.08321,0.160836317
NIPA2,0.0591,0.129654629
NIPA1,0.06191,0.120445399
LOC283683,0.09339,0.096367484
HERC2P2,-0.3594,0.549750892
MKRN3,0.1556,0.175678875
MAGEL2,0.1297,0.222790742
NDN,0.1289,0.344669442
C15orf2,-0.08068,0.077274542
SNRPN,0.1942,0.297655642
SNURF,0.1201,0.119529407
PAR-SN,0.01672,0.024292536
PAR5,0.01154,0.014843079
SNORD116-1,0.0632,0.059533322
SNORD116-4,0.1283,0.209926052
SNORD116-20,0.2863,0.361211333
SNORD116-21,0.3172,0.491604967
SNORD116-22,0.4697,0.642827742
SNORD116-23,-0.5062,0.726998728
SNORD116-24,0.03705,0.03550466
SNORD116-26,-0.08459,0.085551059
IPW,0.08969,0.218819279
PAR1,0.1267,0.12947905
SNORD115-13,0.3761,0.580705278
UBE3A,0.02201,0.072014053
ATP10A,-0.1836,0.198390512
GABRB3,0.3418,0.74860515
GABRA5,0.06786,0.074842673
GABRG3,0.07818,0.076082777
OCA2,-0.06897,0.067678468
HERC2,-0.04497,0.108462542
HERC2P9,0.2462,0.351835221
WHAMMP2,-0.1208,0.1329452
LOC646278,0.4151,0.603451962
FAM189A1,0.452,0.824488187
TJP1,-0.2014,0.349692477
CHRFAM7A,-0.2011,0.216096421
ARHGAP11B,-0.3435,0.515557792
LOC100288637,-0.4209,0.794254459
MTMR10,-0.1659,0.660151217
LOC283710,-0.1581,0.171920409
KLF13,-0.1352,0.445268623
OTUD7A,0.1206,0.147093241
CHRNA7,0.2479,0.418391634
LOC100288615,-0.5348,0.771599641
ARHGAP11A,-0.4729,0.968187729
SCG5,0.3143,0.373967752
FMN1,0.1992,0.237621571
RYR3,0.3399,0.559563234
AVEN,-0.2178,0.346112442
CHRM5,-0.01691,0.015832873
C15orf24,0.02319,0.053007659
PGBD4,0.1884,0.320572103
C15orf29,0.063,0.096421706
TMEM85,0.2185,0.37202001
SLC12A6,0.05729,0.177439663
NOP10,-0.0191,0.043591429
C15orf55,-0.2548,0.310691141
GOLGA8B,-0.04796,0.050122296
AQR,0.1012,0.236646891
ZNF770,0.07504,0.3650192
ANP32AP1,-0.04897,0.105683937
ATPBD4,0.003388,0.004364805
LOC100507466,-0.063,0.063184769
C15orf41,-0.2038,0.348334396
CSNK1A1P1,-0.1517,0.227165073
LOC145845,-0.074,0.072014053
MEIS2,0.2486,0.450996738
SPRED1,-0.1088,0.156767222
FAM98B,0.04531,0.072886388
FSIP1,-0.09019,0.096259059
GPR176,0.2223,0.271483895
EIF2AK4,-0.1743,0.59636481
SRP14,-0.03241,0.117247844
LOC100131089,0.3193,0.636952405
BMF,-0.5079,0.864231485
PAK6,0.385,0.52042469
C15orf56,-0.21,0.227604939
ANKRD63,-0.1702,0.193074223
C15orf52,-0.1265,0.134540677
DISP2,0.4101,0.894830572
C15orf23,0.01432,0.022550773
IVD,-0.1704,0.285167488
BAHD1,-0.1101,0.183957659
CHST14,-0.3098,0.373249146
MRPL42P5,0.01823,0.020633758
C15orf57,-0.01537,0.029885678
RPUSD2,0.2304,0.437469231
